Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Gene name
ENSG00000001630,ENSG00000001630.18,ENST00000003100,ENST00000003100.13,CYP51A1
ENSG00000007255,ENSG00000007255.10,ENST00000006275,ENST00000006275.8,TRAPPC6A
ENSG00000008118,ENSG00000008118.10,ENST00000009105,ENST00000009105.5,CAMK1G
ENSG00000019582,ENSG00000019582.17,ENST00000009530,ENST00000009530.13,CD74
ENSG00000042813,ENSG00000042813.8,ENST00000046087,ENST00000046087.7,ZPBP
ENSG00000013275,ENSG00000013275.8,ENST00000157812,ENST00000157812.7,PSMC4
ENSG00000072818,ENSG00000072818.12,ENST00000158762,ENST00000158762.8,ACAP1
ENSG00000137764,ENSG00000137764.20,ENST00000178640,ENST00000178640.10,MAP2K5
ENSG00000010256,ENSG00000010256.11,ENST00000203407,ENST00000203407.6,UQCRC1
ENSG00000089639,ENSG00000089639.11,ENST00000203556,ENST00000203556.9,GMIP
ENSG00000089693,ENSG00000089693.11,ENST00000203630,ENST00000203630.10,MLF2
ENSG00000035403,ENSG00000035403.18,ENST00000211998,ENST00000211998.10,VCL
ENSG00000100307,ENSG00000100307.13,ENST00000216133,ENST00000216133.10,CBX7
ENSG00000129465,ENSG00000129465.16,ENST00000216274,ENST00000216274.10,RIPK3
ENSG00000100485,ENSG00000100485.12,ENST00000216373,ENST00000216373.10,SOS2
ENSG00000102218,ENSG00000102218.6,ENST00000218340,ENST00000218340.4,RP2
ENSG00000102931,ENSG00000102931.8,ENST00000219204,ENST00000219204.8,ARL2BP
ENSG00000102978,ENSG00000102978.13,ENST00000219252,ENST00000219252.10,POLR2C
ENSG00000102981,ENSG00000102981.10,ENST00000219255,ENST00000219255.3,PARD6A
ENSG00000103197,ENSG00000103197.19,ENST00000219476,ENST00000219476.9,TSC2
ENSG00000103202,ENSG00000103202.13,ENST00000219479,ENST00000219479.7,NME4
ENSG00000103653,ENSG00000103653.17,ENST00000220003,ENST00000220003.14,CSK
ENSG00000104671,ENSG00000104671.8,ENST00000221114,ENST00000221114.8,DCTN6
ENSG00000104695,ENSG00000104695.13,ENST00000221138,ENST00000221138.9,PPP2CB
ENSG00000105679,ENSG00000105679.9,ENST00000222286,ENST00000222286.9,GAPDHS
ENSG00000106080,ENSG00000106080.11,ENST00000222803,ENST00000222803.10,FKBP14
ENSG00000106299,ENSG00000106299.8,ENST00000223023,ENST00000223023.5,WASL
ENSG00000106344,ENSG00000106344.8,ENST00000223073,ENST00000223073.6,RBM28
ENSG00000106636,ENSG00000106636.9,ENST00000223369,ENST00000223369.3,YKT6
ENSG00000108518,ENSG00000108518.8,ENST00000225655,ENST00000225655.6,PFN1
ENSG00000112079,ENSG00000112079.9,ENST00000229812,ENST00000229812.8,STK38
ENSG00000114784,ENSG00000114784.4,ENST00000232905,ENST00000232905.4,EIF1B
ENSG00000114854,ENSG00000114854.8,ENST00000232975,ENST00000232975.8,TNNC1
ENSG00000115806,ENSG00000115806.13,ENST00000234160,ENST00000234160.5,GORASP2
ENSG00000115956,ENSG00000115956.10,ENST00000234313,ENST00000234313.8,PLEK
ENSG00000116095,ENSG00000116095.11,ENST00000234453,ENST00000234453.10,PLEKHA3
ENSG00000117533,ENSG00000117533.15,ENST00000236192,ENST00000236192.12,VAMP4
ENSG00000118017,ENSG00000118017.4,ENST00000236709,ENST00000236709.4,A4GNT
ENSG00000028839,ENSG00000028839.10,ENST00000237264,ENST00000237264.9,TBPL1
ENSG00000120318,ENSG00000120318.16,ENST00000239440,ENST00000239440.9,ARAP3
ENSG00000120526,ENSG00000120526.12,ENST00000239690,ENST00000239690.9,NUDCD1
ENSG00000120697,ENSG00000120697.10,ENST00000239891,ENST00000239891.4,ALG5
ENSG00000160145,ENSG00000160145.16,ENST00000240874,ENST00000240874.7,KALRN
ENSG00000122068,ENSG00000122068.13,ENST00000241502,ENST00000241502.9,FYTTD1
ENSG00000123570,ENSG00000123570.4,ENST00000243298,ENST00000243298.3,RAB9B
ENSG00000123685,ENSG00000123685.9,ENST00000243440,ENST00000243440.2,BATF3
ENSG00000124541,ENSG00000124541.7,ENST00000244496,ENST00000244496.6,RRP36
ENSG00000125868,ENSG00000125868.16,ENST00000246069,ENST00000246069.12,DSTN
ENSG00000127824,ENSG00000127824.15,ENST00000248437,ENST00000248437.9,TUBA4A
