"Gene.Symbol","EC53.veh","EC53.fs","EC53.bs","EC53.cbd","EC53.iso","EC268.bs","EC268.veh","EC268.iso","EC268.fs","EC291.veh","EC268.cbd","EC291.fs","EC291.bs","EC291.cbd","EC291.iso"
"MYH9",40196.2,36990.6,35363.3,48548.6,42164,41849.1,37339.2,37091.1,42310.4,53149.7,42093.3,55379.8,44057.3,46925.7,45305
"LAMC1",53088,56873.2,53562.5,67873.9,54004.7,53871.3,53966.8,50343.5,56581.9,80160.9,106410.5,176165,92378.5,139469.9,119031.7
"LAMB1",71970.5,76517.7,71127.4,80073.8,81257.8,70084.5,62476.8,64883.3,70681.7,103492.1,164265.8,183340.9,133993.7,169810.9,181050.4
"KRT18",44602.4,41121.9,39108.1,57015.1,51560,37280.5,28311.2,34090,30445.3,44695,41965.9,63754.9,49788.8,54090.5,51790.6
"ACTB",55439.6,48983.8,48040.2,71961.4,57856.8,50442.7,40385.6,44159.5,42353.9,50991,47553.8,62991.7,49570.8,53868.7,53969.5
"ACTG1",198.2,198.5,205.2,144,189.4,206.5,183.3,268,158.9,173.4,147.2,93.3,146.7,104.5,134
"HSP90AB1",44881.3,39540.2,36152.4,40331.3,45677.6,40193.9,33562.2,34160.3,42121.4,53166.8,47430.5,51999.1,50323.1,51193.6,53576.3
"KRT8",74648.8,78832.3,80391.8,88245.2,82894,68702.4,54818.1,81764.8,60573.5,64407.1,71941.6,78277.5,81192.8,81552.3,76795.2
"HSPA8",32130.9,29129.2,27440.3,41139.9,34795.9,28715.2,22118.6,23240.1,23884.3,31885.4,29254.5,43271.8,33406,36384.7,34199.4
"ENO1",46978.1,45898.9,44902,68127.6,50981.8,48630.3,35839.9,42678,41417.1,46979.6,39999,64061.3,47780,52902.3,42821.7
"HSPD1",27017,29499.4,28130.7,41413.8,32553.7,29508.3,22474,28690.7,25683.5,30397.3,23363.3,28996.7,26253.5,28428.7,25075.3
"AHNAK",28219.2,31178,31963.8,47903.7,32318.3,31188.4,26599.1,25279.6,25448,27367.5,30432.6,41987.6,31397.7,35347.3,31749.5
"DSP",31523.3,31934.9,32344.5,47381,35879.1,30138.8,23723.7,27235,26338,26899.3,26400.3,31645.4,26975.6,29936.2,26399.1
"PKM",36512.1,36175.5,34747.2,51679.8,39331.1,32389.9,26306.4,27620.4,28013.6,34102.1,28600.7,37139.7,31572.7,33978.6,30903.5
"ACTC1",1933.3,1485.4,1485.2,1318,1904.9,1504.9,1534,1353.7,1601,1916.7,1496.9,1441.6,1520.6,1380.8,1682.1
"HNRNPM",39605.1,49635.3,49884.2,58157.8,48416,38320.1,32516.7,53111,32602.3,34663.9,44972.3,47941.2,47302.4,47401.5,43610
"HSPA5",29668.3,32075.3,31481.2,54725.8,34527.6,30324.6,22876,23079,22386.1,26898,29833.9,45890,33019.3,39820.5,31305.8
"GAPDH",55770,44643.2,41951.5,47220.2,57002.1,43522.8,37378.4,39173,44159.1,52827.6,37669,45840.7,43539.4,40320.8,42228.9
"HSP90B1",31987.8,28018.2,26075.7,36384.2,31202.3,26469.5,21903.7,21456.7,24171.5,28926.8,26063,39428.1,30354.2,33504.8,28907.1
"PDIA3",28824.2,29496.7,27425.5,41354.1,31515.3,24230.2,18703.4,19628.8,19526.2,23561.6,23106.3,36055.6,28082.6,31587.8,25411.2
"RRBP1",12729.2,13556.1,13265.3,18575.1,13337.5,13860.3,11163.4,11416.5,12218.8,12514.1,11859.3,16119.7,13521.6,14857.2,12185.4
"ANXA2",37002.3,28607.4,26948.1,32995.6,39872.8,25342.3,21734.5,21006.4,23476.1,30467.6,26300.2,37877,32865.7,33919.8,36116.4
"LMNA",15140.1,16624.4,16862.9,24385.1,18379.6,15129.5,11391.4,15173.1,11535.2,15324,12154.6,17088.8,13614.4,14851.9,12691
"VCP",13378.1,14326.5,13818.9,16856.4,14609.5,12544.4,11269.4,11093.7,11375.2,11418.7,13593.7,14541.5,14013.9,14212.9,14193.6
"HNRNPA2B1",18891.9,19022.3,18401.1,23909.4,20563.4,15257.5,11818.9,13894.9,12763.5,14894.3,15850,20720.6,18355.9,19084.2,15738.7
"HSP90AA1",15955.5,13254.3,11796.2,14304.9,16070.4,14090.5,11810.1,11433,15050.1,18192,13493.9,16112.8,15639.6,15853,15681.7
"LAMA1",42577.9,37863.2,34279.4,38584.3,42092,39265.7,37409.8,35210.6,41783.4,66582.3,75882.2,92340.6,67368.2,80663.5,91714.9
"GSN",17764.9,16357.6,15929.1,20702.3,18210,12218.2,11147.9,10706.1,10628.6,11942.4,17782.2,22896,20708,21238.9,19842.2
"HSPA9",19393.5,21717.7,21083.2,29252.4,23350.3,22622,18788.4,22405,20359.3,20479.9,16459.6,19575.6,18061.6,19095.4,17380.9
"VIM",14875.9,16263.9,18087.5,18960.9,16064.1,11348.7,11927.2,9234.4,11360.2,10721.6,19220.4,23674.3,22099.6,24772.4,22708.9
"ALDOA",24045.8,20598.6,19754.7,31042.2,27122.8,23770.1,16727.9,18655.6,21393.7,28831.3,17202.9,23610.2,19529.7,20366.1,18635.7
"HNRNPA2B1",685.9,774.2,722.6,602.9,574.5,537.2,664.2,621.6,638.2,540.8,493.1,414.7,473.1,425.1,413.7
"FASN",19177,16978.4,15684.1,19945.8,18997,14061.5,12785.2,12498.1,13874,15003.6,15574.2,18383.3,16250.7,15946.7,16799.1
"P4HB",25297.6,20635.2,18872.1,35843.2,27214.8,19838.5,14721.7,14327.1,16067.4,22061.9,21830.7,44404,27288.2,33451,26439.3
"ANXA1",31469.4,26215.4,23876.2,30208.8,36295.9,26329.1,22379,21822.3,27991.4,34475.5,21229.7,28950.7,26318.8,26211.3,26974.5
"PLEC",15019.3,14526.1,14126.6,19696.9,15697.1,13564.3,11038.3,11762.5,11951.3,13531,12701.9,14605.4,12916,13723.2,13642.5
"PGK1",32074.4,28283.5,25518.9,36925.6,33801.5,26327.4,19126.6,19976.4,22164.4,26594.7,18604.5,22645.8,20029.2,20334.8,20163.7
"FLNA",12639.3,11910.9,13177.5,12449.1,14316.4,22232.2,19450.6,24634.9,24146.9,32003,17461.2,22314,19075.4,19862.5,18119.5
"EEF2",22526.3,21284,20683.1,27027.3,23182,20910.6,18341.9,19669.9,19804.7,23087.7,21782.9,28180.1,23204,25268.7,23717.3
"MYH10",6022,5981.8,5810,8159.3,6447,7418.3,5779.5,6318.6,6797.9,8083.5,6527.5,8299.7,6188.6,6911.1,6264.6
"HSPG2",10418.5,11185.1,11547.1,12573.2,11341.3,11454.9,11428.2,11474,10919.9,12747.7,15808.5,22764.4,14831.1,18275.8,16003.2
