"__mclCluster","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
,"pp","9606.ENSP00000006015 (pp) 9606.ENSP00000343619","false","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000343619","0.383",,,,,,,"0.515","0.247"
,"pp","9606.ENSP00000006015 (pp) 9606.ENSP00000320147","false","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000320147",,,,"0.298",,,,"0.554","0.391"
,"pp","9606.ENSP00000006015 (pp) 9606.ENSP00000376322","false","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000376322","0.216",,,,,,,"0.416","0.286"
"1","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000222753","false","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000222753","0.531",,,,,,,"0.674","0.335"
,"pp","9606.ENSP00000006015 (pp) 9606.ENSP00000405890","false","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000405890",,,,"0.252",,,,"0.505","0.366"
,"pp","9606.ENSP00000006015 (pp) 9606.ENSP00000304408","false","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000304408","0.067",,,"0.057",,,,"0.556","0.536"
,"pp","9606.ENSP00000006015 (pp) 9606.ENSP00000304502","false","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000304502","0.098",,,,,,,"0.679","0.659"
,"pp","9606.ENSP00000006015 (pp) 9606.ENSP00000250003","false","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000250003","0.062",,,"0.101",,,,"0.452","0.402"
,"pp","9606.ENSP00000006015 (pp) 9606.ENSP00000331327","false","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000331327",,,,"0.059",,,,"0.402","0.391"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000431418","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000431418","0.048",,,"0.062",,,,"0.469","0.453"
,"pp","9606.ENSP00000006015 (pp) 9606.ENSP00000283928","false","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000283928",,,,,,,,"0.414","0.414"
,"pp","9606.ENSP00000006015 (pp) 9606.ENSP00000368880","false","pp","9606.ENSP00000006015 (pp) 9606.ENSP00000368880",,,,"0.295",,,,"0.965","0.952"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000451828","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000451828","0.048",,,"0.062",,,,"0.436","0.42"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000357484","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000357484",,,,,,,,"0.507","0.507"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000384620","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000384620",,,,,,,,"0.407","0.407"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000362680","0.048",,,"0.062",,,,"0.46","0.444"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000307078","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000307078",,,,"0.057",,,,"0.472","0.464"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000221972","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000221972","0.175",,,,,,,"0.416","0.322"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000379873","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000379873","0.15",,"0.36",,,,,"0.612","0.345"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000256078","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000256078",,,,"0.056",,,,"0.4","0.391"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000357516","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000357516","0.049",,,,,,,"0.523","0.519"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000485010","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000485010","0.231",,,,,,,"0.682","0.604"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000354487","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000354487",,,,,,,,"0.668","0.669"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000286301","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000286301","0.429",,,,,,,"0.613","0.352"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000483570","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000483570","0.315",,,"0.062",,,,"0.442","0.201"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000361818","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000361818","0.062",,,,,,,"0.569","0.56"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000381581","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000381581","0.234",,,,,,,"0.684","0.605"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000320663","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000320663",,,,,,,,"0.731","0.732"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000357494","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000357494","0.048",,,"0.062",,,,"0.866","0.862"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000452780","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000452780","0.331",,"0.36",,,,,"0.743","0.449"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000351497","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000351497","0.232",,,,,,,"0.476","0.346"
"1","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000409555","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000409555",,,,,,,,"0.698","0.698"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000373905","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000373905",,,"0.6",,,,,"0.608","0.062"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000376544","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000376544","0.206",,,,,,,"0.575","0.487"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000263102","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000263102",,,,,,,,"0.55","0.551"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000326759","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000326759",,,,"0.057",,,,"0.63","0.625"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000347942","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000347942",,,,,,,,"0.418","0.419"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000246657","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000246657","0.162",,,,,,,"0.431","0.35"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000371483","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000371483",,,,,,,,"0.684","0.684"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000324890","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000324890","0.08",,,,,,,"0.531","0.512"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000269305","0.062",,,,,,,"0.626","0.618"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000275493",,,,,,,,"0.456","0.456"
,"pp","9606.ENSP00000009530 (pp) 9606.ENSP00000479606","false","pp","9606.ENSP00000009530 (pp) 9606.ENSP00000479606",,,"0.6",,,,,"0.671","0.212"
