Gene Symbol,FCP1-D1,FCP2-D1,FCP3-D1,Time,df1,df2,df3,patient
MYH9,0.879767242,1.120781913,0.828928479,10,-0.241014671,0.291853434,0.050838763,1
LAMC1,1.00893799,0.998230394,1.152413458,10,0.010707596,-0.154183064,-0.143475468,1
LAMB1,0.988285478,1.1217684,1.294723945,10,-0.133482922,-0.172955545,-0.306438467,1
KRT18,0.876816046,1.316811015,1.113968005,10,-0.439994969,0.20284301,-0.237151959,1
ACTB,0.866532226,1.249026881,0.972148026,10,-0.382494655,0.276878855,-0.1056158,1
ACTG1,1.035317861,1.126568467,0.846020761,10,-0.091250606,0.280547706,0.1892971,1
HSP90AB1,0.805511427,1.197594317,0.946513614,10,-0.39208289,0.251080703,-0.141002187,1
KRT8,1.076933588,1.253279483,1.260618783,10,-0.176345895,-0.0073393,-0.183685195,1
HSPA8,0.854015916,1.298237682,1.047689538,10,-0.444221766,0.250548144,-0.193673622,1
ENO1,0.955807068,1.356875996,1.017037182,10,-0.401068928,0.339838814,-0.061230114,1
HSPD1,1.041222193,1.312997241,0.863678682,10,-0.271775048,0.449318559,0.177543511,1
AHNAK,1.132696887,1.172535913,1.147262264,10,-0.039839026,0.025273649,-0.014565377,1
DSP,1.026050572,1.270408916,1.002836505,10,-0.244358344,0.267572411,0.023214067,1
PKM,0.9516626,1.231255512,0.925828615,10,-0.279592912,0.305426897,0.025833985,1
ACTC1,0.768220142,0.981029987,0.793342724,10,-0.212809845,0.187687263,-0.025122582,1
HNRNPM,1.259539807,1.178474445,1.364601213,10,0.081065362,-0.186126768,-0.105061406,1
HSPA5,1.061105625,1.325607624,1.227574541,10,-0.264501999,0.098033083,-0.166468916,1
GAPDH,0.752223418,1.164383708,0.824179028,10,-0.41216029,0.34020468,-0.07195561,1
HSP90B1,0.815176411,1.208448801,1.049345244,10,-0.39327239,0.159103557,-0.234168833,1
PDIA3,0.951474802,1.295497075,1.191880008,10,-0.344022273,0.103617067,-0.240405206,1
RRBP1,1.042115765,1.241584105,1.080509186,10,-0.19946834,0.161074919,-0.038393421,1
ANXA2,0.728281755,1.165994157,1.078709843,10,-0.437712402,0.087284314,-0.350428088,1
LMNA,1.11379053,1.328151061,0.88843644,10,-0.214360531,0.439714621,0.22535409,1
VCP,1.032949372,1.113138233,1.22727631,10,-0.080188861,-0.114138077,-0.194326938,1
HNRNPA2B1,0.974020612,1.290940781,1.232411057,10,-0.316920169,0.058529724,-0.258390445,1
HSP90AA1,0.73931873,1.193088966,0.85969657,10,-0.453770236,0.333392396,-0.12037784,1
LAMA1,0.80509842,1.049609995,1.011803437,10,-0.244511575,0.037806558,-0.206705017,1
GSN,0.896661394,1.096009114,1.733989818,10,-0.19934772,-0.637980704,-0.837328424,1
HSPA9,1.08712713,1.204040791,0.881918369,10,-0.116913661,0.322122422,0.205208761,1
VIM,1.21589282,0.951497418,2.061222206,10,0.264395402,-1.109724788,-0.845329386,1
