#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
A1CF,APOBEC3B,9606.ENSP00000378868,9606.ENSP00000327459,0,0,0,0,0,0.045,0.500,0.276,0.624
A1CF,RBM15,9606.ENSP00000378868,9606.ENSP00000358799,0,0,0,0,0,0,0.540,0.100,0.568
A1CF,HNF1A,9606.ENSP00000378868,9606.ENSP00000438804,0,0,0,0,0.448,0,0,0.085,0.474
ABI1,MAPK1,9606.ENSP00000365312,9606.ENSP00000215832,0,0,0,0,0.054,0,0.400,0.109,0.450
ABI1,KDR,9606.ENSP00000365312,9606.ENSP00000263923,0,0,0,0,0,0,0.500,0.072,0.516
ABI1,PIK3CA,9606.ENSP00000365312,9606.ENSP00000263967,0,0,0,0,0.146,0,0.400,0.052,0.471
ABI1,CBL,9606.ENSP00000365312,9606.ENSP00000264033,0,0,0,0,0.042,0.292,0,0.589,0.697
ABI1,EGFR,9606.ENSP00000365312,9606.ENSP00000275493,0,0,0,0,0.042,0.126,0,0.624,0.657
ABI1,NCKIPSD,9606.ENSP00000365312,9606.ENSP00000294129,0,0,0,0,0.056,0,0.500,0.245,0.612
ABI1,RPN1,9606.ENSP00000365312,9606.ENSP00000296255,0,0,0,0,0.060,0,0,0.521,0.530
ABI1,MLLT10,9606.ENSP00000365312,9606.ENSP00000307411,0,0,0,0,0.087,0,0,0.649,0.665
ABI1,HSP90AA1,9606.ENSP00000365312,9606.ENSP00000335153,0,0,0,0,0.050,0.052,0.500,0.075,0.528
ABI1,KNL1,9606.ENSP00000365312,9606.ENSP00000335463,0,0,0,0,0,0,0,0.589,0.589
ABI1,SEPTIN6,9606.ENSP00000365312,9606.ENSP00000341524,0,0,0,0,0.082,0,0,0.404,0.429
ABI1,RAC1,9606.ENSP00000365312,9606.ENSP00000348461,0,0,0,0,0.074,0.170,0.500,0.481,0.774
ABI1,AFDN,9606.ENSP00000365312,9606.ENSP00000355771,0,0,0,0,0.042,0,0,0.422,0.422
ABI1,MLLT11,9606.ENSP00000365312,9606.ENSP00000357917,0,0,0,0,0,0,0,0.489,0.489
ABI1,ABL1,9606.ENSP00000365312,9606.ENSP00000361423,0,0,0,0,0,0.876,0.400,0.977,0.998
ABI1,SRC,9606.ENSP00000365312,9606.ENSP00000362680,0,0,0,0,0.049,0.129,0.500,0.740,0.878
ABI1,SYK,9606.ENSP00000365312,9606.ENSP00000364898,0,0,0,0,0.060,0.095,0.500,0.174,0.601
ABI1,SEPTIN5,9606.ENSP00000365312,9606.ENSP00000391311,0,0,0,0,0,0,0,0.415,0.415
ABI1,TFRC,9606.ENSP00000365312,9606.ENSP00000376197,0,0,0,0,0.044,0,0.400,0.077,0.424
ABI1,AFF1,9606.ENSP00000365312,9606.ENSP00000378578,0,0,0,0,0.060,0,0,0.424,0.435
ABI1,CLTCL1,9606.ENSP00000365312,9606.ENSP00000441158,0,0,0,0,0.042,0,0,0.441,0.442
ABI1,SFRP4,9606.ENSP00000365312,9606.ENSP00000410715,0,0,0,0,0,0,0,0.447,0.447
ABI1,GMPS,9606.ENSP00000365312,9606.ENSP00000419851,0,0,0,0,0.042,0,0,0.455,0.455
ABI1,CLTC,9606.ENSP00000365312,9606.ENSP00000479606,0,0,0,0,0.049,0,0,0.478,0.482
ABI1,PIK3R1,9606.ENSP00000365312,9606.ENSP00000428056,0,0,0,0,0.056,0.129,0.400,0.109,0.502
ABI1,AKT1,9606.ENSP00000365312,9606.ENSP00000451828,0,0,0,0,0.042,0.212,0,0.438,0.539
ABI1,MLLT6,9606.ENSP00000365312,9606.ENSP00000479910,0,0,0,0,0.067,0,0,0.563,0.574
ABI1,ARHGEF12,9606.ENSP00000365312,9606.ENSP00000380942,0,0,0,0,0.047,0.069,0,0.560,0.575
ABI1,MLLT3,9606.ENSP00000365312,9606.ENSP00000369695,0,0,0,0,0.047,0,0,0.611,0.613
ABI1,ABL2,9606.ENSP00000365312,9606.ENSP00000427562,0,0,0,0,0,0.331,0,0.473,0.632
ABI1,VAV1,9606.ENSP00000365312,9606.ENSP00000472929,0,0,0,0,0.062,0.078,0.500,0.263,0.639
ABI1,FNBP1,9606.ENSP00000365312,9606.ENSP00000413625,0,0,0,0,0.074,0.095,0,0.655,0.686
ABI1,WAS,9606.ENSP00000365312,9606.ENSP00000365891,0,0,0,0,0.044,0.286,0.400,0.773,0.894
ABL1,GNA11,9606.ENSP00000361423,9606.ENSP00000078429,0,0,0,0,0.119,0,0,0.484,0.526
ABL1,MAPK1,9606.ENSP00000361423,9606.ENSP00000215832,0,0,0,0.588,0.064,0.110,0,0.695,0.724
ABL1,CD79A,9606.ENSP00000361423,9606.ENSP00000221972,0,0,0,0,0,0,0,0.431,0.431
ABL1,DDX5,9606.ENSP00000361423,9606.ENSP00000225792,0,0,0,0,0.042,0.156,0,0.389,0.463
ABL1,IL2,9606.ENSP00000361423,9606.ENSP00000226730,0,0,0,0,0,0,0,0.419,0.418
ABL1,CCND1,9606.ENSP00000361423,9606.ENSP00000227507,0,0,0,0,0.067,0,0.400,0.577,0.742
ABL1,CDKN1B,9606.ENSP00000361423,9606.ENSP00000228872,0,0,0,0,0.086,0.296,0.400,0.420,0.746
ABL1,MLH1,9606.ENSP00000361423,9606.ENSP00000231790,0,0,0,0,0.042,0,0,0.480,0.481
ABL1,FLT3,9606.ENSP00000361423,9606.ENSP00000241453,0,0,0,0.600,0.095,0.215,0,0.346,0.495
